A0A1B3PEJ5	jgi|Aurli1|53311|gw1.3.217.1	100.000	233	0	0	17	249	1	233	0.0	859
A0A1J0I0B7	jgi|Aurli1|43132|fgenesh1_kg.4_#_25_#_isotig01301	100.000	443	0	0	1	443	1	443	0.0	1632
A0A1J0I0B7	jgi|Aurli1|142419|estExt_fgenesh1_kg.C_250056	99.323	443	3	0	1	443	1	443	0.0	1615
A0A1J0I0B7	jgi|Aurli1|74837|e_gw1.7.739.1	99.580	238	1	0	206	443	170	407	0.0	872
A0A1J0I0B7	jgi|Aurli1|146584|estExt_Genemark1.C_7_t20049	100.000	234	0	0	210	443	187	420	0.0	863
A0A1J0I0C1	jgi|Aurli1|140546|estExt_fgenesh1_kg.C_140136	100.000	2030	0	0	1	2030	1	2030	0.0	7474
A0A1J0I0C2	jgi|Aurli1|83486|e_gw1.21.366.1	100.000	4147	0	0	1	4147	1	4147	0.0	15267
A0A1J0I0D7	jgi|Aurli1|141473|estExt_fgenesh1_kg.C_190026	100.000	916	0	0	1	916	1	916	0.0	3373
A0A224ASZ0	jgi|Aurli1|7974|gm1.7974_g	100.000	395	0	0	1	395	1	395	0.0	1455
A0A6S7ZE47.1	jgi|Aurli1|142623|estExt_fgenesh1_kg.C_270077	100.000	144	0	0	28	171	1	144	7.49e-167	532
A0A6S7ZE61.1	jgi|Aurli1|48309|fgenesh1_kg.26_#_1_#_isotig04857	100.000	496	0	0	1	496	1	496	0.0	1827
A0A6S7ZEL4.1	jgi|Aurli1|44681|fgenesh1_kg.8_#_275_#_isotig04704	100.000	503	0	0	1	503	1	503	0.0	1853
A0A6S7ZEU9.1	jgi|Aurli1|48519|fgenesh1_kg.28_#_43_#_isotig02845	100.000	747	0	0	1	747	101	847	0.0	2751
A0A6S7ZF11.1	jgi|Aurli1|28382|fgenesh1_pg.1_#_39	100.000	250	0	0	1	250	1	250	0.0	922
A0A6S7ZF31.1	jgi|Aurli1|46927|fgenesh1_kg.17_#_156_#_isotig07523	100.000	315	0	0	1	315	1	315	0.0	1161
A0A6S7ZF41.1	jgi|Aurli1|42509|fgenesh1_kg.2_#_237_#_isotig06094	100.000	374	0	0	22	395	1	374	0.0	1378
A0A6S7ZF54.1	jgi|Aurli1|129308|estExt_fgenesh1_pg.C_4_t10359	100.000	552	0	0	1	552	1	552	0.0	2033
A0A6S7ZFB1.1	jgi|Aurli1|39339|fgenesh1_pg.21_#_295	100.000	1420	0	0	1	1420	1	1420	0.0	5229
A0A6S7ZFQ3.1	jgi|Aurli1|116188|fgenesh1_pm.7_#_241	100.000	1026	0	0	187	1212	145	1170	0.0	3778
A0A6S7ZG02.1	jgi|Aurli1|78400|e_gw1.11.451.1	100.000	869	0	0	1	869	1	869	0.0	3200
A0A6S7ZG11.1	jgi|Aurli1|41903|fgenesh1_kg.1_#_323_#_isotig04108	100.000	631	0	0	1	631	1	631	0.0	2324
A0A6S7ZG13.1	jgi|Aurli1|37788|fgenesh1_pg.17_#_179	100.000	809	0	0	37	845	1	809	0.0	2979
A0A6S7ZG15.1	jgi|Aurli1|139062|estExt_fgenesh1_kg.C_90033	100.000	820	0	0	1	820	1	820	0.0	3020
A0A6S7ZG49.1	jgi|Aurli1|46425|fgenesh1_kg.15_#_88_#_isotig09099	100.000	242	0	0	27	268	1	242	0.0	892
A0A6S7ZG73.1	jgi|Aurli1|138959|estExt_fgenesh1_kg.C_80212	100.000	924	0	0	1	924	1	924	0.0	3403
A0A6S7ZGB1.1	jgi|Aurli1|141027|estExt_fgenesh1_kg.C_160200	100.000	118	0	0	1	118	1	118	8.82e-139	436
A0A6S7ZGE1.1	jgi|Aurli1|138105|estExt_fgenesh1_kg.C_50306	100.000	355	0	0	21	375	1	355	0.0	1308
A0A6S7ZGT4.1	jgi|Aurli1|147969|estExt_Genemark1.C_110333	100.000	335	0	0	1	335	1	335	0.0	1235
A0A6S7ZGU4.1	jgi|Aurli1|120806|estExt_fgenesh1_pm.C_1_t10113	100.000	379	0	0	1	379	1	379	0.0	1397
A0A6S7ZGZ7.1	jgi|Aurli1|138602|estExt_fgenesh1_kg.C_70160	100.000	158	0	0	1	158	1	158	0.0	583
A0A6S7ZH42.1	jgi|Aurli1|142919|estExt_fgenesh1_kg.C_330021	100.000	453	0	0	1	453	1	453	0.0	1669
A0A6S7ZH69.1	jgi|Aurli1|143049|estExt_fgenesh1_kg.C_370014	100.000	364	0	0	1	364	1	364	0.0	1341
A0A6S7ZHF0.1	jgi|Aurli1|77683|e_gw1.10.342.1	100.000	196	0	0	168	363	1	196	0.0	723
A0A6S7ZHI7.1	jgi|Aurli1|137294|estExt_fgenesh1_kg.C_30151	100.000	297	0	0	1	297	1	297	0.0	1095
A0A6S7ZHK6.1	jgi|Aurli1|47806|fgenesh1_kg.22_#_15_#_isotig05101	100.000	509	0	0	1	509	1	509	0.0	1875
