A0A1B3PEJ5;|A0A6S8BSM1.1|(obsolete);	A0A348FVC9_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._OH4	99.6	271	1	0	5.20e-203	547	A0A348FVC9_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._OH4
A0A1J0I0B7;	Q0H2C4_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_mangrovei	99.0	382	4	0	4.77e-289	777	Q0H2C4_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_mangrovei
A0A1J0I0C1;	A0A348FVC7_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._OH4	99.6	2034	5	1	0.0	4019	A0A348FVC7_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._OH4
A0A1J0I0C1;	A0A076NB29_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10	99.3	2038	6	1	0.0	4012	A0A076NB29_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10
A0A1J0I0C1;	A0A1U9Y6B5_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4	96.1	2044	55	5	0.0	3858	A0A1U9Y6B5_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4
A0A1J0I0C1;	A0A348FVC8_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._OH4	75.9	519	111	5	3.83e-251	772	A0A348FVC8_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._OH4
A0A1J0I0C1;	A0A076NDM8_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10	75.9	519	111	5	1.60e-250	771	A0A076NDM8_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10
A0A1J0I0C1;	A0A191TCB5_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4	75.7	519	112	5	1.19e-249	769	A0A191TCB5_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4
A0A1J0I0C1;	A0A076NC49_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10	30.2	486	279	14	1.68e-45	174	A0A076NC49_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10
A0A1J0I0C1;	A0A1S6YK92_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4	38.3	274	149	6	5.94e-45	169	A0A1S6YK92_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4
A0A1J0I0C2;	A0A5J6CXS1_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp.	99.7	4147	11	0	0.0	7954	A0A5J6CXS1_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp.
A0A1J0I0C2;	A0A0K1R5P4_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_mangrovei	99.1	4151	35	1	0.0	7900	A0A0K1R5P4_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_mangrovei
A0A1J0I0C2;	A0A1S6YK92_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4	39.8	83	44	3	1.20e-07	50.1	A0A1S6YK92_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4
A0A1J0I0C2;	A0A076NC49_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10	39.8	83	44	3	1.46e-07	50.1	A0A076NC49_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10
A0A1J0I0D7;	A0A076NDM8_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10	100	916	0	0	0.0	1897	A0A076NDM8_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10
A0A1J0I0D7;	A0A348FVC8_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._OH4	99.9	916	1	0	0.0	1895	A0A348FVC8_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._OH4
A0A1J0I0D7;	A0A191TCB5_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4	99.8	916	2	0	0.0	1894	A0A191TCB5_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._qe-4
A0A3S9VMC7;	A0A076NC49_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10	96.1	3361	102	12	0.0	5585	A0A076NC49_Eukaryota_Bigyra_Labyrinthulomycetes_Thraustochytriaceae_Aurantiochytrium_sp._L-BL10
